session_id,item,idea_id,idea,condition
0,tire,0,1. Use the tire as a kite,idea1
0,tire,1,2. Use the tire as a boat,idea1
0,tire,2,3. Use the tire as a hat,idea1
0,tire,3,4. Use the tire as a toy,idea1
0,tire,4,5. Use the tire as a toy,idea1
0,tire,5,6. Use the tire as a toy,idea1
0,tire,6,7. Use the tire as a toy,idea1
0,tire,7,8. Use the tire as a toy,idea1
0,tire,8,9. Use the tire as a toy,idea1
0,tire,9,10. Use the tire as a toy,idea1
0,tire,10,11. Use the tire as a toy,idea1
0,tire,11,12. Use the tire as a toy,idea1
0,tire,12,13. Use the tire as a toy,idea1
0,tire,13,14. Use the tire as a toy,idea1
0,tire,14,15. Use the tire as a toy,idea1
0,tire,15,16. Use the tire as a toy,idea1
0,tire,16,17. Use the tire as a toy,idea1
0,tire,17,18. Use the tire as a toy,idea1
0,tire,18,19. Use the tire as a toy,idea1
0,tire,19,20. Use the tire as a toy,idea1
0,tire,20,21. Use the tire as a toy,idea1
0,tire,21,22. Use the tire as a toy,idea1
0,tire,22,23. Use the tire as a toy,idea1
0,tire,23,24. Use the tire as a toy,idea1
0,tire,24,25. Use the tire as a toy,idea1
0,tire,25,26. Use the tire as a toy,idea1
0,tire,26,27. Use the tire as a toy,idea1
0,tire,27,28. Use the tire as a toy,idea1
0,tire,28,29. Use the tire as a toy,idea1
0,tire,29,30. Use the tire as a toy,idea1
0,tire,30,31. Use the tire as a toy,idea1
0,tire,31,32. Use the tire as a toy,idea1
0,tire,32,33. Use the tire as a toy,idea1
0,tire,33,34. Use the tire as a toy,idea1
0,tire,34,35. Use the tire as a toy,idea1
0,tire,35,36. Use the tire as a toy,idea1
0,tire,36,37. Use the tire as a toy,idea1
0,tire,37,38. Use the tire as a toy,idea1
0,tire,38,39. Use the tire as a toy,idea1
0,tire,39,40. Use the tire as a toy,idea1
0,tire,40,41. Use the tire as a toy,idea1
0,tire,41,42. Use the tire as a toy,idea1
0,tire,42,43. Use the tire as a toy,idea1
1,tire,0,1. As a toy for children.,idea1
1,tire,1,2. As a decoration for a room.,idea1
1,tire,2,3. As a way to make a person feel more comfortable.,idea1
1,tire,3,4. As a way to make a person feel more secure.,idea1
