session_id,item,idea_id,idea,condition,originality
0,tire,0,A tire swing bed: Cut the tire into slices and use them as a bed frame for a unique and fun outdoor bed.,idea1,3.2
0,tire,1,A tire ottoman: Use a tire as a footrest or a cushion for a sofa or chair.,idea1,2.8
0,tire,2,A tire birdhouse: Cut out a birdhouse shape from a tire and paint it to attract birds to your garden.,idea1,3.4
0,tire,3,"A tire greenhouse: Use tires to create a greenhouse for your plants, allowing them to grow in a controlled environment.",idea1,3.8
0,tire,4,"A tire playground: Use tires to create a fun and safe playground for children, including a tire swing, balance beam, and climbing structure.",idea1,3.0
1,tire,0,"A tire swing made from a tire with a rope attached to the center, perfect for outdoor activities and a unique way to swing in the park.",idea1,2.2
1,tire,1,"A tire ottoman that doubles as a coffee table, providing a comfortable and practical seating option for any room.",idea1,3.0
1,tire,2,"A tire planter that can be used to grow a variety of plants, with the tire acting as a raised garden bed and providing extra drainage.",idea1,3.0
1,tire,3,"A tire-based playground structure, such as a tire swing, tire slide, or tire jungle gym, providing a fun and creative way for kids to play.",idea1,3.2
1,tire,4,"A tire-based furniture piece, such as a tire-shaped coffee table or tire-shaped stool, adding a unique and functional touch to any room.",idea1,2.8
2,tire,0,A tire swing made from a giant tire that doubles as a planter for flowers or herbs.,idea1,3.4
2,tire,1,A tire ottoman that doubles as a storage unit for blankets and pillows.,idea1,3.2
2,tire,2,"A tire swing made from a tire that's been cut in half and hung from a tree, with a rope ladder leading up to it.",idea1,2.6
2,tire,3,"A tire ottoman that's been painted with bright colors and patterns, and used as a decorative accent piece in a room.",idea1,3.4
2,tire,4,"A tire swing made from a tire that's been painted with a funky pattern and hung from a tree, with a rope ladder leading up to it.",idea1,2.8
3,tire,0,"A tire-based obstacle course for dogs: Cut a tire into different shapes and sizes and use them to create a fun and challenging obstacle course for dogs to run through. This can include balance beams, tunnels, and hurdles made from tires.",idea1,3.2
3,tire,1,"A tire-based garden: Cut a tire into a circular shape and use it as a planter for a small garden. You can fill it with soil and plant flowers, herbs, or vegetables.",idea1,3.2
