session_id,item,idea_id,idea,condition,originality,diversity
0,tire,0,"**Mobile Greenhouse:** A transparent tire filled with soil and plants, used as a portable greenhouse.",idea2,4.2,0.5431215404127733
0,tire,1,"**Interactive Tire:** A tire with embedded sensors that interact with the road, changing colors and patterns based on speed, terrain, and weather.",idea2,3.4,0.5431215404127733
0,tire,2,"**Musical Tire:** A tire that generates music when spun, creating a unique soundtrack for each journey.",idea2,3.4,0.5431215404127733
0,tire,3,"**Tire-cast:** A casting mold made from a tire, used to pour molten metal into unique shapes.",idea2,3.4,0.5431215404127733
0,tire,4,"**Tire Swing:** A tire attached to a rope, used as a swing for children.",idea2,1.8,0.5431215404127733
0,tire,5,"**Tire Bridge:** A bridge made from a tire, used to cross rivers.",idea2,3.0,0.5431215404127733
0,tire,6,"**Tire Fountain:** A fountain made from a tire, used to sprinkle water.",idea2,3.4,0.5431215404127733
1,tire,0,"**Tire Swing:** A tire attached to a rope, hanging from a tree, can be used as a swing for children.",idea2,1.8,0.5007326696686126
1,tire,1,**Mobile Tire Oven:** A tire filled with coals can be used to roast marshmallows or cook food.,idea2,3.4,0.5007326696686126
1,tire,2,**Tire Fountain:** A tire filled with water can be used as a fountain.,idea2,3.4,0.5007326696686126
1,tire,3,**Tire Bridge:** A series of tires can be used to build a bridge.,idea2,3.0,0.5007326696686126
1,tire,4,**Tire Drum:** A tire can be used as a drum to make music.,idea2,3.0,0.5007326696686126
1,tire,5,**Tire Garden:** A tire can be used as a flowerpot.,idea2,2.0,0.5007326696686126
1,tire,6,**Tire Mirror:** A tire can be used as a mirror.,idea2,3.8,0.5007326696686126
2,tire,0,"**Tire Swing:** A tire hung from a tree, with a rope attached to the valve stem, can be used as a swing.",idea2,1.8,0.4560421041426543
2,tire,1,**Tire Cactus:** Tires filled with sand and planted with cactus can serve as unique outdoor landscaping.,idea2,3.8,0.4560421041426543
2,tire,2,**Tire Mirror:** A mirror mounted on a tire can be used to reflect the surroundings.,idea2,3.2,0.4560421041426543
2,tire,3,"**Tire Fountain:** Tires can be used as the base of a fountain, filled with water and adorned with flowers.",idea2,3.8,0.4560421041426543
2,tire,4,"**Tire Drum:** Tires can be used as drums, either by attaching them to a frame or playing them directly.",idea2,3.0,0.4560421041426543
